transistor_id;voltage;current;tamb
DEMO_MOSFET_02;18.502;0.354892;38.7
DEMO_BJT_01;14.622;0.157847;52.38
DEMO_MOSFET_01;27.723;0.050223;45.02
DEMO_MOSFET_02;22.876;0.331091;28.46
DEMO_BJT_01;9.234;0.101515;34.5
DEMO_MOSFET_01;35.564;0.047502;26.19
DEMO_MOSFET_02;15.508;0.177546;37.23
DEMO_BJT_01;17.545;0.062259;24.65
DEMO_MOSFET_01;29.338;0.137063;24.61
DEMO_MOSFET_02;21.183;0.24714;32.93
DEMO_BJT_01;20.591;0.134352;31.18
DEMO_MOSFET_01;15.719;0.252861;29.76
DEMO_MOSFET_02;24.35;0.26064;54.87
DEMO_BJT_01;8.455;0.104436;33.15
DEMO_MOSFET_01;30.487;0.104535;43.85
DEMO_MOSFET_02;15.535;0.188519;53.04
DEMO_BJT_01;18.508;0.041066;44.54
DEMO_MOSFET_01;39.279;0.036356;45.41
DEMO_MOSFET_02;24.848;0.191862;48.31
DEMO_BJT_01;5.544;0.270744;27.09
DEMO_MOSFET_01;13.809;0.055847;16.82
DEMO_MOSFET_02;46.404;0.060056;52.76
DEMO_BJT_01;9.962;0.054431;19.1
DEMO_MOSFET_01;38.723;0.090782;34.15
DEMO_MOSFET_02;11.275;0.7868;25.1
DEMO_BJT_01;18.157;0.070757;17.61
DEMO_MOSFET_01;33.012;0.075791;42.46
DEMO_MOSFET_02;18.651;0.28357;52.97
DEMO_BJT_01;18.692;0.114432;37.32
DEMO_MOSFET_01;17.074;0.231777;39.74
DEMO_MOSFET_02;37.369;0.049302;51.34
DEMO_BJT_01;3.686;0.850338;32.15
DEMO_MOSFET_01;31.221;0.019921;53.4
DEMO_MOSFET_02;9.465;0.670223;40.02
DEMO_BJT_01;6.383;0.20439;24.59
DEMO_MOSFET_01;20.387;0.202489;31.34
DEMO_MOSFET_02;20.55;0.113398;16.31
DEMO_BJT_01;8.536;0.253736;49.38
DEMO_MOSFET_01;24.822;0.082569;25.58
DEMO_MOSFET_02;11.313;0.142272;47.16
DEMO_BJT_01;9.438;0.298001;23.99
DEMO_MOSFET_01;32.327;0.107043;20.69
DEMO_MOSFET_02;55.666;0.142924;38.8
DEMO_BJT_01;10.515;0.105398;32.57
DEMO_MOSFET_01;22.979;0.046297;31.1
DEMO_MOSFET_02;53.918;0.101676;32.51
DEMO_BJT_01;2.724;0.426592;44.38
DEMO_MOSFET_01;34.839;0.087341;24.16
DEMO_MOSFET_02;47.062;0.121899;38.48
DEMO_BJT_01;23.367;0.083957;47.86
DEMO_MOSFET_01;19.362;0.158041;22.01
DEMO_MOSFET_02;28.974;0.318251;26.13
DEMO_BJT_01;15.16;0.133486;47.57
DEMO_MOSFET_01;6.87;0.166773;31.33
DEMO_MOSFET_02;32.251;0.083568;21.43
DEMO_BJT_01;23.294;0.115905;41.5
DEMO_MOSFET_01;12.339;0.293527;16.47
DEMO_MOSFET_02;52.57;0.076612;19.64
DEMO_BJT_01;26.342;0.015541;48.0
DEMO_MOSFET_01;22.182;0.140205;33.48
DEMO_MOSFET_02;29.312;0.176037;39.91
DEMO_BJT_01;5.668;0.16646;17.06
DEMO_MOSFET_01;20.934;0.144755;26.52
DEMO_MOSFET_02;48.962;0.176657;16.15
DEMO_BJT_01;2.383;1.072386;43.39
DEMO_MOSFET_01;34.132;0.100366;31.32
DEMO_MOSFET_02;40.624;0.114697;19.54
DEMO_BJT_01;10.172;0.383948;21.16
DEMO_MOSFET_01;20.852;0.056456;43.22
DEMO_MOSFET_02;12.955;0.202566;33.89
DEMO_BJT_01;22.896;0.060932;22.62
DEMO_MOSFET_01;31.589;0.024655;20.46
DEMO_MOSFET_02;48.324;0.126368;49.18
DEMO_BJT_01;22.329;0.102457;25.69
DEMO_MOSFET_01;27.418;0.088903;48.5
DEMO_MOSFET_02;31.639;0.20097;49.61
DEMO_BJT_01;12.562;0.124487;28.3
DEMO_MOSFET_01;39.289;0.043783;52.31
DEMO_MOSFET_02;52.081;0.14274;24.55
DEMO_BJT_01;15.243;0.146588;31.43
DEMO_MOSFET_01;39.571;0.076789;51.54
DEMO_MOSFET_02;13.366;0.527021;46.7
DEMO_BJT_01;29.03;0.073352;53.59
DEMO_MOSFET_01;34.266;0.02293;28.28
DEMO_MOSFET_02;5.844;1.606347;18.99
DEMO_BJT_01;29.159;0.062505;20.77
DEMO_MOSFET_01;12.806;0.168357;17.99
DEMO_MOSFET_02;9.417;0.543772;39.93
DEMO_BJT_01;16.941;0.139139;28.14
DEMO_MOSFET_01;35.835;0.065115;53.17
DEMO_MOSFET_02;38.96;0.189796;34.52
DEMO_BJT_01;10.047;0.347334;24.39
DEMO_MOSFET_01;39.198;0.020269;24.1
DEMO_MOSFET_02;10.528;0.299475;45.41
DEMO_BJT_01;2.811;1.089343;21.65
DEMO_MOSFET_01;16.263;0.200451;27.97
DEMO_MOSFET_02;27.663;0.070529;32.23
DEMO_BJT_01;6.902;0.095034;42.27
DEMO_MOSFET_01;28.276;0.120798;39.38
DEMO_MOSFET_02;17.77;0.169727;34.91
DEMO_BJT_01;20.672;0.04942;40.52
DEMO_MOSFET_01;13.642;0.085277;50.96
DEMO_MOSFET_02;56.988;0.089703;36.86
DEMO_BJT_01;28.937;0.024652;54.51
DEMO_MOSFET_01;14.179;0.241039;42.61
DEMO_MOSFET_02;10.866;0.651803;54.97
DEMO_BJT_01;10.284;0.220089;30.25
DEMO_MOSFET_01;33.711;0.016884;42.97
DEMO_MOSFET_02;52.579;0.022451;30.83
DEMO_BJT_01;27.497;0.116082;46.13
DEMO_MOSFET_01;36.409;0.1058;44.81
DEMO_MOSFET_02;49.106;0.035032;46.03
DEMO_BJT_01;9.018;0.086873;23.76
DEMO_MOSFET_01;28.192;0.132999;45.22
DEMO_MOSFET_02;39.51;0.040105;20.47
DEMO_BJT_01;2.934;0.597855;16.58
DEMO_MOSFET_01;36.656;0.090906;29.59
DEMO_MOSFET_02;16.044;0.347676;28.07
DEMO_BJT_01;12.244;0.251491;46.46
DEMO_MOSFET_01;9.088;0.372736;35.07
DEMO_MOSFET_02;58.206;0.06342;51.56
DEMO_BJT_01;24.519;0.098574;26.81
DEMO_MOSFET_01;30.904;0.022919;33.73
DEMO_MOSFET_02;42.092;0.084973;24.02
DEMO_BJT_01;17.605;0.093435;30.9
DEMO_MOSFET_01;12.785;0.318896;18.61
DEMO_MOSFET_02;46.196;0.126984;19.94
DEMO_BJT_01;19.879;0.118589;25.49
DEMO_MOSFET_01;20.445;0.203348;29.86
DEMO_MOSFET_02;23.04;0.357059;39.78
DEMO_BJT_01;19.791;0.107889;39.4
DEMO_MOSFET_01;27.022;0.150541;33.57
DEMO_MOSFET_02;7.047;0.199538;19.67
DEMO_BJT_01;8.574;0.059344;54.84
DEMO_MOSFET_01;16.727;0.072163;36.5
DEMO_MOSFET_02;34.711;0.084929;52.98
DEMO_BJT_01;26.792;0.117415;38.49
DEMO_MOSFET_01;25.779;0.154598;41.2
DEMO_MOSFET_02;42.965;0.134809;52.56
DEMO_BJT_01;8.611;0.279025;23.69
DEMO_MOSFET_01;16.591;0.27965;29.51
DEMO_MOSFET_02;8.33;0.814602;51.07
DEMO_BJT_01;28.572;0.085712;26.04
DEMO_MOSFET_01;10.848;0.255542;47.97
DEMO_MOSFET_02;7.782;1.060779;40.58
DEMO_BJT_01;24.035;0.078306;28.34
DEMO_MOSFET_01;23.506;0.091874;23.21
DEMO_MOSFET_02;17.815;0.445976;38.46
DEMO_BJT_01;18.687;0.073191;45.97
DEMO_MOSFET_01;39.539;0.1208;26.09
DEMO_MOSFET_02;11.046;0.33233;36.61
DEMO_BJT_01;12.031;0.184694;49.66
DEMO_MOSFET_01;3.584;0.390836;46.54
DEMO_MOSFET_02;28.153;0.23446;25.61
DEMO_BJT_01;14.552;0.042469;19.55
DEMO_MOSFET_01;19.724;0.205114;29.48
DEMO_MOSFET_02;44.998;0.18187;23.86
DEMO_BJT_01;10.446;0.25991;51.35
DEMO_MOSFET_01;39.948;0.014912;40.73
DEMO_MOSFET_02;10.938;0.579885;48.89
DEMO_BJT_01;27.179;0.035836;43.5
DEMO_MOSFET_01;7.669;0.444115;27.88
DEMO_MOSFET_02;44.168;0.065974;39.97
DEMO_BJT_01;10.257;0.314011;30.24
DEMO_MOSFET_01;32.345;0.039879;35.22
DEMO_MOSFET_02;53.274;0.11271;19.58
DEMO_BJT_01;14.042;0.238313;37.05
DEMO_MOSFET_01;33.615;0.032553;50.52
DEMO_MOSFET_02;22.19;0.161817;30.95
DEMO_BJT_01;28.701;0.029692;27.5
DEMO_MOSFET_01;6.375;0.40192;42.47
DEMO_MOSFET_02;45.952;0.061403;18.41
DEMO_BJT_01;3.679;0.179819;29.91
DEMO_MOSFET_01;27.79;0.115431;53.26
DEMO_MOSFET_02;56.762;0.071497;31.43
DEMO_BJT_01;3.44;0.501909;31.92
DEMO_MOSFET_01;6.833;0.425554;26.51
DEMO_MOSFET_02;31.52;0.198368;35.3
DEMO_BJT_01;17.575;0.140204;48.89
DEMO_MOSFET_01;11.368;0.338997;19.6
DEMO_MOSFET_02;47.209;0.16049;32.16
DEMO_BJT_01;17.589;0.074071;39.87
DEMO_MOSFET_01;28.658;0.093239;39.36
DEMO_MOSFET_02;46.933;0.159662;16.16
DEMO_BJT_01;7.079;0.111897;51.86
DEMO_MOSFET_01;5.575;0.560019;20.73
DEMO_MOSFET_02;10.047;0.396352;44.64
DEMO_BJT_01;14.702;0.190669;36.22
DEMO_MOSFET_01;15.002;0.081661;21.3
DEMO_MOSFET_02;53.584;0.087834;52.66
DEMO_BJT_01;3.393;0.483915;21.22
DEMO_MOSFET_01;18.689;0.223101;18.26
DEMO_MOSFET_02;16.856;0.402968;39.28
DEMO_BJT_01;5.105;0.545529;35.49
DEMO_MOSFET_01;22.497;0.160932;42.13
DEMO_MOSFET_02;59.145;0.032746;27.34
DEMO_BJT_01;28.469;0.029722;17.19
DEMO_MOSFET_01;13.71;0.271943;45.69
DEMO_MOSFET_02;28.686;0.105714;19.8
DEMO_BJT_01;8.443;0.403384;20.17
DEMO_MOSFET_01;16.104;0.102736;37.35
DEMO_MOSFET_02;28.992;0.193258;30.88
DEMO_BJT_01;10.766;0.200482;33.39
DEMO_MOSFET_01;26.685;0.047971;32.17
DEMO_MOSFET_02;58.141;0.127287;26.58
DEMO_BJT_01;14.883;0.262278;21.87
DEMO_MOSFET_01;19.158;0.057451;42.58
DEMO_MOSFET_02;27.025;0.104369;19.23
DEMO_BJT_01;22.883;0.171019;18.15
DEMO_MOSFET_01;5.826;0.777987;23.86
DEMO_MOSFET_02;15.665;0.450697;40.33
DEMO_BJT_01;28.83;0.087909;46.05
DEMO_MOSFET_01;6.804;0.447448;40.82
DEMO_MOSFET_02;13.408;0.134317;25.24
DEMO_BJT_01;28.636;0.067617;45.37
DEMO_MOSFET_01;23.858;0.109669;40.12
DEMO_MOSFET_02;53.513;0.060858;38.18
DEMO_BJT_01;11.05;0.152735;40.72
DEMO_MOSFET_01;19.271;0.117528;53.84
DEMO_MOSFET_02;48.798;0.15769;33.76
DEMO_BJT_01;4.077;0.515919;38.66
DEMO_MOSFET_01;16.643;0.038826;33.47
DEMO_MOSFET_02;58.755;0.138396;26.48
DEMO_BJT_01;12.766;0.276451;18.61
DEMO_MOSFET_01;30.34;0.069402;38.21
DEMO_MOSFET_02;36.441;0.126414;16.64
DEMO_BJT_01;16.038;0.08757;22.53
DEMO_MOSFET_01;33.006;0.033785;53.31
DEMO_MOSFET_02;9.638;0.809065;48.5
DEMO_BJT_01;21.813;0.106082;40.85
DEMO_MOSFET_01;25.563;0.047;54.64
DEMO_MOSFET_02;26.308;0.217659;29.56
DEMO_BJT_01;3.466;0.356374;45.98
DEMO_MOSFET_01;15.199;0.218588;40.24
DEMO_MOSFET_02;18.86;0.123873;37.32
DEMO_BJT_01;18.876;0.105614;49.06
DEMO_MOSFET_01;27.554;0.108336;21.01
DEMO_MOSFET_02;41.083;0.045622;51.67
DEMO_BJT_01;21.847;0.027298;41.49
DEMO_MOSFET_01;26.809;0.162623;18.39
DEMO_MOSFET_02;43.656;0.148716;28.14
DEMO_BJT_01;27.549;0.109181;52.88
DEMO_MOSFET_01;21.814;0.207888;18.74
DEMO_MOSFET_02;57.314;0.042144;15.73
DEMO_BJT_01;7.376;0.211986;28.67
DEMO_MOSFET_01;13.944;0.158544;55.0
DEMO_MOSFET_02;34.687;0.073255;46.52
DEMO_BJT_01;20.534;0.09828;44.55
DEMO_MOSFET_01;25.098;0.134915;50.06
DEMO_MOSFET_02;43.107;0.043521;21.17
DEMO_BJT_01;22.193;0.148744;39.99
DEMO_MOSFET_01;29.625;0.04625;16.75
DEMO_MOSFET_02;46.382;0.05793;53.78
DEMO_BJT_01;8.697;0.276342;46.35
DEMO_MOSFET_01;36.447;0.095196;53.62
DEMO_MOSFET_02;36.373;0.232033;22.76
DEMO_BJT_01;23.787;0.141361;32.62
DEMO_MOSFET_01;8.996;0.400195;35.12
DEMO_MOSFET_02;53.015;0.15465;22.99
DEMO_BJT_01;12.394;0.102681;17.09
DEMO_MOSFET_01;22.089;0.067691;52.37
DEMO_MOSFET_02;13.817;0.415489;19.99
DEMO_BJT_01;25.269;0.046103;32.97
DEMO_MOSFET_01;33.218;0.097233;18.67
DEMO_MOSFET_02;27.819;0.176513;50.39
DEMO_BJT_01;12.813;0.228884;30.86
DEMO_MOSFET_01;14.791;0.073529;18.26
DEMO_MOSFET_02;23.441;0.163626;18.96
DEMO_BJT_01;27.687;0.020732;20.84
DEMO_MOSFET_01;31.077;0.136722;33.9
DEMO_MOSFET_02;54.822;0.139512;33.76
DEMO_BJT_01;6.187;0.499062;15.76
DEMO_MOSFET_01;18.66;0.176214;52.61
DEMO_MOSFET_02;11.702;0.148917;46.05
DEMO_BJT_01;19.439;0.073655;24.54
DEMO_MOSFET_01;21.494;0.105602;17.51
DEMO_MOSFET_02;36.628;0.085725;36.44
DEMO_BJT_01;2.044;0.977826;43.74
DEMO_MOSFET_01;9.931;0.292141;29.11
DEMO_MOSFET_02;24.833;0.108111;41.73
DEMO_BJT_01;24.02;0.10626;53.14
DEMO_MOSFET_01;35.313;0.085288;35.3
DEMO_MOSFET_02;25.532;0.105224;16.74
DEMO_BJT_01;3.892;0.510455;44.89
DEMO_MOSFET_01;6.836;0.266424;24.65
DEMO_MOSFET_02;12.338;0.431295;38.28
DEMO_BJT_01;19.998;0.047927;29.09
DEMO_MOSFET_01;39.29;0.062687;48.22
DEMO_MOSFET_02;12.417;0.514098;34.14
DEMO_BJT_01;3.036;0.523665;43.64
DEMO_MOSFET_01;35.774;0.128045;23.06
DEMO_MOSFET_02;26.902;0.262545;27.62
DEMO_BJT_01;3.025;0.321205;47.62
DEMO_MOSFET_01;34.899;0.073483;40.88
DEMO_MOSFET_02;20.027;0.433975;16.91
DEMO_BJT_01;13.201;0.070778;46.97
DEMO_MOSFET_01;15.544;0.186368;32.59
DEMO_MOSFET_02;25.204;0.337189;22.47
DEMO_BJT_01;4.313;0.562276;46.89
DEMO_MOSFET_01;39.819;0.093335;31.98
DEMO_MOSFET_02;10.643;0.683209;22.22
DEMO_BJT_01;14.486;0.158301;28.12
DEMO_MOSFET_01;19.425;0.040583;43.71
DEMO_MOSFET_02;55.138;0.06408;32.89
DEMO_BJT_01;19.905;0.050171;39.59
DEMO_MOSFET_01;27.834;0.021652;46.66
DEMO_MOSFET_02;46.244;0.061871;31.25
DEMO_BJT_01;25.763;0.105413;21.4
DEMO_MOSFET_01;7.671;0.159673;42.12
DEMO_MOSFET_02;24.918;0.138775;24.44
DEMO_BJT_01;6.296;0.067426;52.98
DEMO_MOSFET_01;19.426;0.185088;33.0
DEMO_MOSFET_02;25.182;0.276737;18.08
DEMO_BJT_01;28.895;0.079613;27.58
DEMO_MOSFET_01;22.157;0.171544;16.04
DEMO_MOSFET_02;47.623;0.114072;51.54
DEMO_BJT_01;19.133;0.036235;43.16
DEMO_MOSFET_01;10.407;0.399141;42.76
DEMO_MOSFET_02;14.496;0.394607;20.43
DEMO_BJT_01;24.694;0.13353;43.53
DEMO_MOSFET_01;27.71;0.134068;53.7
DEMO_MOSFET_02;20.97;0.331526;43.38
DEMO_BJT_01;21.868;0.104736;27.0
DEMO_MOSFET_01;16.375;0.049162;43.01
DEMO_MOSFET_02;48.564;0.191874;23.97
DEMO_BJT_01;12.105;0.267952;24.47
DEMO_MOSFET_01;39.371;0.033536;37.89
DEMO_MOSFET_02;8.616;1.071547;20.19
DEMO_BJT_01;15.403;0.217332;30.93
DEMO_MOSFET_01;24.271;0.152515;31.43
DEMO_MOSFET_02;9.079;0.262123;20.01
DEMO_BJT_01;5.593;0.542518;33.63
DEMO_MOSFET_01;24.748;0.05347;48.16
DEMO_MOSFET_02;32.658;0.043523;45.71
DEMO_BJT_01;16.507;0.082882;49.73
DEMO_MOSFET_01;37.585;0.024016;27.16
DEMO_MOSFET_02;33.539;0.134965;24.02
DEMO_BJT_01;7.496;0.356318;26.36
DEMO_MOSFET_01;26.126;0.086949;53.25
DEMO_MOSFET_02;40.254;0.146362;39.58
DEMO_BJT_01;6.794;0.437906;38.67
DEMO_MOSFET_01;15.492;0.128394;39.98
DEMO_MOSFET_02;52.508;0.099451;51.96
DEMO_BJT_01;23.589;0.170215;18.25
DEMO_MOSFET_01;24.169;0.041473;25.59
DEMO_MOSFET_02;53.895;0.105966;39.72
DEMO_BJT_01;10.459;0.123863;36.82
DEMO_MOSFET_01;18.025;0.252097;24.8
DEMO_MOSFET_02;13.694;0.248362;33.14
DEMO_BJT_01;11.525;0.096418;31.62
DEMO_MOSFET_01;14.815;0.322672;20.75
DEMO_MOSFET_02;26.929;0.071638;54.52
DEMO_BJT_01;4.973;0.402068;45.43
DEMO_MOSFET_01;19.635;0.043255;24.67
DEMO_MOSFET_02;56.996;0.115463;20.64
DEMO_BJT_01;28.955;0.08694;49.57
DEMO_MOSFET_01;37.549;0.095807;51.09
DEMO_MOSFET_02;13.764;0.118199;43.85
DEMO_BJT_01;26.614;0.068128;54.84
DEMO_MOSFET_01;17.55;0.041357;34.89
DEMO_MOSFET_02;37.084;0.051913;33.29
DEMO_BJT_01;18.731;0.051598;16.95
DEMO_MOSFET_01;13.573;0.18042;48.71
DEMO_MOSFET_02;12.366;0.479041;15.33
DEMO_BJT_01;13.291;0.22964;25.58
DEMO_MOSFET_01;23.787;0.03215;16.81
DEMO_MOSFET_02;26.249;0.263223;29.5
DEMO_BJT_01;25.109;0.048354;33.01
DEMO_MOSFET_01;7.761;0.479266;39.93
DEMO_MOSFET_02;59.273;0.04388;18.87
DEMO_BJT_01;6.039;0.457674;37.31
DEMO_MOSFET_01;4.489;0.267287;39.1
DEMO_MOSFET_02;49.218;0.079049;16.56
DEMO_BJT_01;27.008;0.024225;35.77
DEMO_MOSFET_01;14.786;0.331495;20.59
DEMO_MOSFET_02;51.343;0.152244;30.72
DEMO_BJT_01;16.272;0.067582;38.75
DEMO_MOSFET_01;20.571;0.186129;34.59
DEMO_MOSFET_02;11.028;0.226611;15.67
DEMO_BJT_01;27.165;0.032972;31.66
DEMO_MOSFET_01;25.086;0.135785;49.88
DEMO_MOSFET_02;58.463;0.059303;25.62
DEMO_BJT_01;3.438;0.75229;38.14
DEMO_MOSFET_01;29.684;0.127484;34.22
DEMO_MOSFET_02;50.191;0.043236;45.98
DEMO_BJT_01;21.615;0.154449;24.69
DEMO_MOSFET_01;18.495;0.21778;22.63
DEMO_MOSFET_02;32.6;0.056029;31.52
DEMO_BJT_01;25.755;0.109922;39.46
DEMO_MOSFET_01;22.191;0.167025;44.1
DEMO_MOSFET_02;31.31;0.136888;37.44
DEMO_BJT_01;14.871;0.246443;30.07
DEMO_MOSFET_01;28.007;0.097232;36.33
DEMO_MOSFET_02;49.201;0.060591;49.71
DEMO_BJT_01;28.805;0.041539;25.57
DEMO_MOSFET_01;37.835;0.097559;26.16
DEMO_MOSFET_02;43.77;0.158113;54.29
DEMO_BJT_01;15.434;0.179427;42.61
DEMO_MOSFET_01;29.702;0.143711;37.42
DEMO_MOSFET_02;34.875;0.090708;26.51
DEMO_BJT_01;11.664;0.16114;50.83
DEMO_MOSFET_01;4.556;0.162722;45.92
DEMO_MOSFET_02;55.821;0.094279;53.21
DEMO_BJT_01;7.992;0.264652;41.24
DEMO_MOSFET_01;23.795;0.038242;48.12
DEMO_MOSFET_02;45.749;0.03434;25.86
DEMO_BJT_01;27.345;0.021049;24.57
DEMO_MOSFET_01;6.707;0.157316;24.03
DEMO_MOSFET_02;42.466;0.065537;28.21
DEMO_BJT_01;29.381;0.066944;20.5
DEMO_MOSFET_01;35.584;0.124127;21.32
DEMO_MOSFET_02;46.575;0.069896;34.03
DEMO_BJT_01;3.657;0.635008;26.49
DEMO_MOSFET_01;11.592;0.308619;45.75
DEMO_MOSFET_02;7.051;1.090529;44.55
DEMO_BJT_01;25.453;0.096635;51.86
DEMO_MOSFET_01;33.94;0.015901;52.36
DEMO_MOSFET_02;46.195;0.126272;46.52
DEMO_BJT_01;3.049;0.241576;49.89
DEMO_MOSFET_01;37.353;0.04527;26.94
DEMO_MOSFET_02;40.272;0.067492;28.4
DEMO_BJT_01;5.758;0.283512;35.97
DEMO_MOSFET_01;32.926;0.102808;35.17
DEMO_MOSFET_02;40.656;0.090116;28.23
DEMO_BJT_01;11.439;0.038673;43.74
DEMO_MOSFET_01;10.147;0.420078;26.8
