idx,transistor_id,type,voltage,current,p_loss,pmax,power_margin_w,power_margin_pct,tamb,rthja,tj,tjmax,temperature_margin_c,status,reason,priority,criticality_score,recommended_action,thermal_power_limit_w,allowed_power_w,limiting_factor,max_current_available,max_current_a,current_reduction_pct,max_voltage_available,max_voltage_v,voltage_reduction_pct
15,DEMO_MOSFET_02,MOSFET,33.115000,0.238039,7.882661,20.000000,12.117339,60.586693,32.670000,25.000000,229.736537,175.000000,-54.736537,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.312780,Correct thermal operating condition,5.693200,5.693200,TEMPERATURE,1,0.171922,27.775663,1,23.917089,27.775663
16,DEMO_BJT_01,BJT,22.607000,0.069120,1.562596,10.000000,8.437404,84.374042,46.750000,50.000000,124.879792,150.000000,25.120208,SAFE,NONE,4,0.832532,No immediate action,2.065000,2.065000,TEMPERATURE,1,0.091343,0.000000,1,29.875579,0.000000
17,DEMO_MOSFET_01,MOSFET,27.563000,0.116749,3.217953,10.000000,6.782047,67.820473,41.350000,40.000000,170.068107,150.000000,-20.068107,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.133787,Correct thermal operating condition,2.716250,2.716250,TEMPERATURE,1,0.098547,15.590742,1,23.265724,15.590742
18,DEMO_MOSFET_02,MOSFET,57.360000,0.023968,1.374804,20.000000,18.625196,93.125978,39.770000,25.000000,74.140112,175.000000,100.859888,SAFE,NONE,4,0.423658,No immediate action,5.409200,5.409200,TEMPERATURE,1,0.094303,0.000000,1,225.684246,0.000000
19,DEMO_BJT_01,BJT,24.584000,0.038835,0.954720,10.000000,9.045280,90.452804,24.390000,50.000000,72.125982,150.000000,77.874018,SAFE,NONE,4,0.480840,No immediate action,2.512200,2.512200,TEMPERATURE,1,0.102188,0.000000,1,64.689069,0.000000
20,DEMO_MOSFET_01,MOSFET,39.406000,0.075621,2.979921,10.000000,7.020079,70.200789,20.890000,40.000000,140.086845,150.000000,9.913155,CRITICAL,LOW_MARGIN,3,0.933912,Monitor / investigate,3.227750,3.227750,TEMPERATURE,1,0.081910,0.000000,1,42.683249,0.000000
21,DEMO_MOSFET_02,MOSFET,30.048000,0.258383,7.763892,20.000000,12.236108,61.180538,39.450000,25.000000,233.547310,175.000000,-58.547310,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.334556,Correct thermal operating condition,5.422000,5.422000,TEMPERATURE,1,0.180445,30.163895,1,20.984353,30.163895
22,DEMO_BJT_01,BJT,22.114000,0.120075,2.655339,10.000000,7.344661,73.446615,50.450000,50.000000,183.216927,150.000000,-33.216927,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.221446,Correct thermal operating condition,1.991000,1.991000,TEMPERATURE,1,0.090033,25.018977,1,16.581303,25.018977
23,DEMO_MOSFET_01,MOSFET,8.460000,0.335150,2.835369,10.000000,7.164631,71.646310,30.360000,40.000000,143.774760,150.000000,6.225240,CRITICAL,LOW_MARGIN,3,0.958498,Monitor / investigate,2.991000,2.991000,TEMPERATURE,1,0.353546,0.000000,1,8.924362,0.000000
24,DEMO_MOSFET_02,MOSFET,52.324000,0.151451,7.924522,20.000000,12.075478,60.377389,42.500000,25.000000,240.613053,175.000000,-65.613053,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.374932,Correct thermal operating condition,5.300000,5.300000,TEMPERATURE,1,0.101292,33.118995,1,34.994817,33.118995
25,DEMO_BJT_01,BJT,8.128000,0.159644,1.297586,10.000000,8.702414,87.024136,50.420000,50.000000,115.299322,150.000000,34.700678,SAFE,NONE,4,0.768662,No immediate action,1.991600,1.991600,TEMPERATURE,1,0.245030,0.000000,1,12.475257,0.000000
26,DEMO_MOSFET_01,MOSFET,20.188000,0.177636,3.586116,10.000000,6.413884,64.138844,47.160000,40.000000,190.604623,150.000000,-40.604623,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.270697,Correct thermal operating condition,2.571000,2.571000,TEMPERATURE,1,0.127353,28.306828,1,14.473418,28.306828
27,DEMO_MOSFET_02,MOSFET,11.675000,0.464358,5.421380,20.000000,14.578620,72.893102,37.300000,25.000000,172.834491,175.000000,2.165509,CRITICAL,LOW_MARGIN,3,0.987626,Monitor / investigate,5.508000,5.508000,TEMPERATURE,1,0.471777,0.000000,1,11.861538,0.000000
28,DEMO_BJT_01,BJT,16.872000,0.146412,2.470263,10.000000,7.529737,75.297367,20.330000,50.000000,143.843163,150.000000,6.156837,CRITICAL,LOW_MARGIN,3,0.958954,Monitor / investigate,2.593400,2.593400,TEMPERATURE,1,0.153710,0.000000,1,17.713029,0.000000
29,DEMO_MOSFET_01,MOSFET,30.944000,0.085746,2.653324,10.000000,7.346676,73.466758,37.360000,40.000000,143.492969,150.000000,6.507031,CRITICAL,LOW_MARGIN,3,0.956620,Monitor / investigate,2.816000,2.816000,TEMPERATURE,1,0.091003,0.000000,1,32.841182,0.000000
30,DEMO_MOSFET_02,MOSFET,54.061000,0.070826,3.828924,20.000000,16.171076,80.855378,32.700000,25.000000,128.423110,175.000000,46.576890,SAFE,NONE,4,0.733846,No immediate action,5.692000,5.692000,TEMPERATURE,1,0.105288,0.000000,1,80.365967,0.000000
31,DEMO_BJT_01,BJT,14.486000,0.118207,1.712347,10.000000,8.287653,82.876534,32.070000,50.000000,117.687330,150.000000,32.312670,SAFE,NONE,4,0.784582,No immediate action,2.358600,2.358600,TEMPERATURE,1,0.162819,0.000000,1,19.953133,0.000000
32,DEMO_MOSFET_01,MOSFET,19.653000,0.114490,2.250072,10.000000,7.749928,77.499280,21.370000,40.000000,111.372879,150.000000,38.627121,SAFE,NONE,4,0.742486,No immediate action,3.215750,3.215750,TEMPERATURE,1,0.163626,0.000000,1,28.087606,0.000000
33,DEMO_MOSFET_02,MOSFET,20.252000,0.176331,3.571055,20.000000,16.428945,82.144723,45.070000,25.000000,134.346385,175.000000,40.653615,SAFE,NONE,4,0.767694,No immediate action,5.197200,5.197200,TEMPERATURE,1,0.256627,0.000000,1,29.474114,0.000000
34,DEMO_BJT_01,BJT,8.699000,0.114910,0.999602,10.000000,9.000398,90.003979,46.110000,50.000000,96.090104,150.000000,53.909896,SAFE,NONE,4,0.640601,No immediate action,2.077800,2.077800,TEMPERATURE,1,0.238855,0.000000,1,18.081977,0.000000
35,DEMO_MOSFET_01,MOSFET,11.676000,0.243821,2.846854,10.000000,7.153146,71.531460,32.590000,40.000000,146.464160,150.000000,3.535840,CRITICAL,LOW_MARGIN,3,0.976428,Monitor / investigate,2.935250,2.935250,TEMPERATURE,1,0.251392,0.000000,1,12.038545,0.000000
36,DEMO_MOSFET_02,MOSFET,9.432000,0.446270,4.209219,20.000000,15.790781,78.953907,28.430000,25.000000,133.660466,175.000000,41.339534,SAFE,NONE,4,0.763774,No immediate action,5.862800,5.862800,TEMPERATURE,1,0.621586,0.000000,1,13.137338,0.000000
37,DEMO_BJT_01,BJT,6.279000,0.507502,3.186605,10.000000,6.813395,68.133949,21.030000,50.000000,180.360253,150.000000,-30.360253,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.202402,Correct thermal operating condition,2.579400,2.579400,TEMPERATURE,1,0.410798,19.054920,1,5.082542,19.054920
38,DEMO_MOSFET_01,MOSFET,15.243000,0.091377,1.392860,10.000000,8.607140,86.071404,23.560000,40.000000,79.274384,150.000000,70.725616,SAFE,NONE,4,0.528496,No immediate action,3.161000,3.161000,TEMPERATURE,1,0.207374,0.000000,1,34.592950,0.000000
39,DEMO_MOSFET_02,MOSFET,50.809000,0.102872,5.226823,20.000000,14.773177,73.865883,33.640000,25.000000,164.310586,175.000000,10.689414,SAFE,NONE,4,0.938918,No immediate action,5.654400,5.654400,TEMPERATURE,1,0.111287,0.000000,1,54.965394,0.000000
40,DEMO_BJT_01,BJT,28.490000,0.054197,1.544073,10.000000,8.455927,84.559275,30.580000,50.000000,107.783626,150.000000,42.216374,SAFE,NONE,4,0.718558,No immediate action,2.388400,2.388400,TEMPERATURE,1,0.083833,0.000000,1,44.068860,0.000000
41,DEMO_MOSFET_01,MOSFET,24.301000,0.205623,4.996845,10.000000,5.003155,50.031555,15.780000,40.000000,215.653781,150.000000,-65.653781,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.437692,Correct thermal operating condition,3.355500,3.355500,TEMPERATURE,1,0.138081,32.847620,1,16.318700,32.847620
42,DEMO_MOSFET_02,MOSFET,21.424000,0.196489,4.209580,20.000000,15.790420,78.952098,34.080000,25.000000,139.319508,175.000000,35.680492,SAFE,NONE,4,0.796111,No immediate action,5.636800,5.636800,TEMPERATURE,1,0.263107,0.000000,1,28.687611,0.000000
43,DEMO_BJT_01,BJT,25.400000,0.067423,1.712544,10.000000,8.287456,82.874558,30.600000,50.000000,116.227210,150.000000,33.772790,SAFE,NONE,4,0.774848,No immediate action,2.388000,2.388000,TEMPERATURE,1,0.094016,0.000000,1,35.418181,0.000000
44,DEMO_MOSFET_01,MOSFET,32.595000,0.054489,1.776069,10.000000,8.223931,82.239310,36.530000,40.000000,107.572758,150.000000,42.427242,SAFE,NONE,4,0.717152,No immediate action,2.836750,2.836750,TEMPERATURE,1,0.087030,0.000000,1,52.060966,0.000000
45,DEMO_MOSFET_02,MOSFET,20.011000,0.319714,6.397797,20.000000,13.602203,68.011016,50.910000,25.000000,210.854921,175.000000,-35.854921,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.204885,Correct thermal operating condition,4.963600,4.963600,TEMPERATURE,1,0.248044,22.417043,1,15.525126,22.417043
46,DEMO_BJT_01,BJT,20.728000,0.047453,0.983606,10.000000,9.016394,90.163942,34.430000,50.000000,83.610289,150.000000,66.389711,SAFE,NONE,4,0.557402,No immediate action,2.311400,2.311400,TEMPERATURE,1,0.111511,0.000000,1,48.709249,0.000000
47,DEMO_MOSFET_01,MOSFET,34.099000,0.046856,1.597743,10.000000,8.402257,84.022573,46.930000,40.000000,110.839710,150.000000,39.160290,SAFE,NONE,4,0.738931,No immediate action,2.576750,2.576750,TEMPERATURE,1,0.075567,0.000000,1,54.992957,0.000000
48,DEMO_MOSFET_02,MOSFET,34.377000,0.220820,7.591129,20.000000,12.408871,62.044354,51.780000,25.000000,241.558229,175.000000,-66.558229,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.380333,Correct thermal operating condition,4.928800,4.928800,TEMPERATURE,1,0.143375,35.071583,1,22.320442,35.071583
49,DEMO_BJT_01,BJT,20.564000,0.052165,1.072721,10.000000,8.927279,89.272789,51.280000,50.000000,104.916053,150.000000,45.083947,SAFE,NONE,4,0.699440,No immediate action,1.974400,1.974400,TEMPERATURE,1,0.096012,0.000000,1,37.849133,0.000000
50,DEMO_MOSFET_01,MOSFET,35.074000,0.042093,1.476370,10.000000,8.523630,85.236301,18.360000,40.000000,77.414795,150.000000,72.585205,SAFE,NONE,4,0.516099,No immediate action,3.291000,3.291000,TEMPERATURE,1,0.093830,0.000000,1,78.184021,0.000000
51,DEMO_MOSFET_02,MOSFET,23.004000,0.093185,2.143628,20.000000,17.856372,89.281861,22.270000,25.000000,75.860694,175.000000,99.139306,SAFE,NONE,4,0.433490,No immediate action,6.109200,6.109200,TEMPERATURE,1,0.265571,0.000000,1,65.559908,0.000000
52,DEMO_BJT_01,BJT,26.630000,0.034719,0.924567,10.000000,9.075433,90.754330,33.190000,50.000000,79.418349,150.000000,70.581651,SAFE,NONE,4,0.529456,No immediate action,2.336200,2.336200,TEMPERATURE,1,0.087728,0.000000,1,67.288804,0.000000
53,DEMO_MOSFET_01,MOSFET,18.598000,0.253947,4.722906,10.000000,5.277094,52.770937,26.130000,40.000000,215.046252,150.000000,-65.046252,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.433642,Correct thermal operating condition,3.096750,3.096750,TEMPERATURE,1,0.166510,34.431263,1,12.194474,34.431263
54,DEMO_MOSFET_02,MOSFET,46.196000,0.140301,6.481345,20.000000,13.518655,67.593275,48.400000,25.000000,210.433625,175.000000,-35.433625,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.202478,Correct thermal operating condition,5.064000,5.064000,TEMPERATURE,1,0.109620,21.868069,1,36.093827,21.868069
55,DEMO_BJT_01,BJT,8.278000,0.241521,1.999311,10.000000,8.000689,80.006892,17.080000,50.000000,117.045542,150.000000,32.954458,SAFE,NONE,4,0.780304,No immediate action,2.658400,2.658400,TEMPERATURE,1,0.321140,0.000000,1,11.006910,0.000000
56,DEMO_MOSFET_01,MOSFET,4.490000,0.556195,2.497316,10.000000,7.502684,75.026844,17.740000,40.000000,117.632622,150.000000,32.367378,SAFE,NONE,4,0.784217,No immediate action,3.306500,3.306500,TEMPERATURE,1,0.736414,0.000000,1,5.944857,0.000000
57,DEMO_MOSFET_02,MOSFET,51.158000,0.116351,5.952284,20.000000,14.047716,70.238578,16.240000,25.000000,165.047111,175.000000,9.952889,CRITICAL,LOW_MARGIN,3,0.943126,Monitor / investigate,6.350400,6.350400,TEMPERATURE,1,0.124133,0.000000,1,54.579677,0.000000
58,DEMO_BJT_01,BJT,15.260000,0.048846,0.745390,10.000000,9.254610,92.546100,39.850000,50.000000,77.119498,150.000000,72.880502,SAFE,NONE,4,0.514130,No immediate action,2.203000,2.203000,TEMPERATURE,1,0.144364,0.000000,1,45.100929,0.000000
59,DEMO_MOSFET_01,MOSFET,20.206000,0.120976,2.444441,10.000000,7.555559,75.555589,19.580000,40.000000,117.357642,150.000000,32.642358,SAFE,NONE,4,0.782384,No immediate action,3.260500,3.260500,TEMPERATURE,1,0.161363,0.000000,1,26.951627,0.000000
60,DEMO_MOSFET_02,MOSFET,38.324000,0.191956,7.356522,20.000000,12.643478,63.217391,25.250000,25.000000,209.163044,175.000000,-34.163044,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.195217,Correct thermal operating condition,5.990000,5.990000,TEMPERATURE,1,0.156299,18.575650,1,31.205068,18.575650
61,DEMO_BJT_01,BJT,23.778000,0.050026,1.189518,10.000000,8.810482,88.104818,53.550000,50.000000,113.025911,150.000000,36.974089,SAFE,NONE,4,0.753506,No immediate action,1.929000,1.929000,TEMPERATURE,1,0.081125,0.000000,1,38.559949,0.000000
62,DEMO_MOSFET_01,MOSFET,24.411000,0.157676,3.849029,10.000000,6.150971,61.509712,21.550000,40.000000,175.511153,150.000000,-25.511153,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.170074,Correct thermal operating condition,3.211250,3.211250,TEMPERATURE,1,0.131549,16.569864,1,20.366131,16.569864
63,DEMO_MOSFET_02,MOSFET,54.941000,0.047756,2.623762,20.000000,17.376238,86.881188,52.160000,25.000000,117.754060,175.000000,57.245940,SAFE,NONE,4,0.672880,No immediate action,4.913600,4.913600,TEMPERATURE,1,0.089434,0.000000,1,102.889689,0.000000
64,DEMO_BJT_01,BJT,7.553000,0.237030,1.790288,10.000000,8.209712,82.097124,30.010000,50.000000,119.524379,150.000000,30.475621,SAFE,NONE,4,0.796829,No immediate action,2.399800,2.399800,TEMPERATURE,1,0.317728,0.000000,1,10.124457,0.000000
65,DEMO_MOSFET_01,MOSFET,11.985000,0.158292,1.897130,10.000000,8.102870,81.028704,38.680000,40.000000,114.565185,150.000000,35.434815,SAFE,NONE,4,0.763768,No immediate action,2.783000,2.783000,TEMPERATURE,1,0.232207,0.000000,1,17.581432,0.000000
66,DEMO_MOSFET_02,MOSFET,42.634000,0.046471,1.981245,20.000000,18.018755,90.093777,42.890000,25.000000,92.421115,175.000000,82.578885,SAFE,NONE,4,0.528121,No immediate action,5.284400,5.284400,TEMPERATURE,1,0.123948,0.000000,1,113.713929,0.000000
67,DEMO_BJT_01,BJT,17.846000,0.166564,2.972501,10.000000,7.027499,70.274989,47.220000,50.000000,195.845057,150.000000,-45.845057,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.305634,Correct thermal operating condition,2.055600,2.055600,TEMPERATURE,1,0.115185,30.846116,1,12.341202,30.846116
68,DEMO_MOSFET_01,MOSFET,27.476000,0.061760,1.696918,10.000000,8.303082,83.030822,16.640000,40.000000,84.516710,150.000000,65.483290,SAFE,NONE,4,0.563445,No immediate action,3.334000,3.334000,TEMPERATURE,1,0.121342,0.000000,1,53.983161,0.000000
69,DEMO_MOSFET_02,MOSFET,5.696000,1.513097,8.618601,20.000000,11.381399,56.906997,17.760000,25.000000,233.225013,175.000000,-58.225013,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.332714,Correct thermal operating condition,6.289600,6.289600,TEMPERATURE,1,1.104213,27.022955,1,4.156773,27.022955
70,DEMO_BJT_01,BJT,14.139000,0.215686,3.049584,10.000000,6.950416,69.504156,31.800000,50.000000,184.279218,150.000000,-34.279218,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.228528,Correct thermal operating condition,2.364000,2.364000,TEMPERATURE,1,0.167197,22.481239,1,10.960378,22.481239
71,DEMO_MOSFET_01,MOSFET,20.010000,0.107971,2.160500,10.000000,7.839500,78.395003,29.490000,40.000000,115.909988,150.000000,34.090012,SAFE,NONE,4,0.772733,No immediate action,3.012750,3.012750,TEMPERATURE,1,0.150562,0.000000,1,27.903326,0.000000
72,DEMO_MOSFET_02,MOSFET,33.696000,0.206384,6.954315,20.000000,13.045685,65.228424,21.120000,25.000000,194.977882,175.000000,-19.977882,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.114159,Correct thermal operating condition,6.155200,6.155200,TEMPERATURE,1,0.182669,11.490927,1,29.824017,11.490927
73,DEMO_BJT_01,BJT,27.749000,0.075650,2.099212,10.000000,7.900788,79.007881,41.020000,50.000000,145.980593,150.000000,4.019407,CRITICAL,LOW_MARGIN,3,0.973204,Monitor / investigate,2.179600,2.179600,TEMPERATURE,1,0.078547,0.000000,1,28.811633,0.000000
74,DEMO_MOSFET_01,MOSFET,33.552000,0.098977,3.320876,10.000000,6.679124,66.791237,45.990000,40.000000,178.825052,150.000000,-28.825052,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.192167,Correct thermal operating condition,2.600250,2.600250,TEMPERATURE,1,0.077499,21.699884,1,26.271255,21.699884
75,DEMO_MOSFET_02,MOSFET,18.502000,0.354892,6.566212,20.000000,13.433788,67.168941,38.700000,25.000000,202.855295,175.000000,-27.855295,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.159173,Correct thermal operating condition,5.452000,5.452000,TEMPERATURE,1,0.294671,16.968868,1,15.362420,16.968868
76,DEMO_BJT_01,BJT,14.622000,0.157847,2.308039,10.000000,7.691961,76.919612,52.380000,50.000000,167.781942,150.000000,-17.781942,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.118546,Correct thermal operating condition,1.952400,1.952400,TEMPERATURE,1,0.133525,15.408702,1,12.368940,15.408702
77,DEMO_MOSFET_01,MOSFET,27.723000,0.050223,1.392332,10.000000,8.607668,86.076678,45.020000,40.000000,100.713289,150.000000,49.286711,SAFE,NONE,4,0.671422,No immediate action,2.624500,2.624500,TEMPERATURE,1,0.094669,0.000000,1,52.256934,0.000000
78,DEMO_MOSFET_02,MOSFET,22.876000,0.331091,7.574038,20.000000,12.425962,62.129811,28.460000,25.000000,217.810943,175.000000,-42.810943,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.244634,Correct thermal operating condition,5.861600,5.861600,TEMPERATURE,1,0.256234,22.609311,1,17.703894,22.609311
79,DEMO_BJT_01,BJT,9.234000,0.101515,0.937390,10.000000,9.062610,90.626105,34.500000,50.000000,81.369475,150.000000,68.630525,SAFE,NONE,4,0.542463,No immediate action,2.310000,2.310000,TEMPERATURE,1,0.250162,0.000000,1,22.755258,0.000000
80,DEMO_MOSFET_01,MOSFET,35.564000,0.047502,1.689361,10.000000,8.310639,83.106389,26.190000,40.000000,93.764445,150.000000,56.235555,SAFE,NONE,4,0.625096,No immediate action,3.095250,3.095250,TEMPERATURE,1,0.087033,0.000000,1,65.160414,0.000000
81,DEMO_MOSFET_02,MOSFET,15.508000,0.177546,2.753383,20.000000,17.246617,86.233083,37.230000,25.000000,106.064584,175.000000,68.935416,SAFE,NONE,4,0.606083,No immediate action,5.510800,5.510800,TEMPERATURE,1,0.355352,0.000000,1,31.038717,0.000000
82,DEMO_BJT_01,BJT,17.545000,0.062259,1.092334,10.000000,8.907666,89.076658,24.650000,50.000000,79.266708,150.000000,70.733292,SAFE,NONE,4,0.528445,No immediate action,2.507000,2.507000,TEMPERATURE,1,0.142890,0.000000,1,40.267271,0.000000
83,DEMO_MOSFET_01,MOSFET,29.338000,0.137063,4.021154,10.000000,5.978846,59.788457,24.610000,40.000000,185.456172,150.000000,-35.456172,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.236374,Correct thermal operating condition,3.134750,3.134750,TEMPERATURE,1,0.106849,22.043529,1,22.870870,22.043529
84,DEMO_MOSFET_02,MOSFET,21.183000,0.247140,5.235167,20.000000,14.764833,73.824167,32.930000,25.000000,163.809166,175.000000,11.190834,SAFE,NONE,4,0.936052,No immediate action,5.682800,5.682800,TEMPERATURE,1,0.268272,0.000000,1,22.994254,0.000000
85,DEMO_BJT_01,BJT,20.591000,0.134352,2.766442,10.000000,7.233558,72.335580,31.180000,50.000000,169.502102,150.000000,-19.502102,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.130014,Correct thermal operating condition,2.376400,2.376400,TEMPERATURE,1,0.115410,14.099050,1,17.687865,14.099050
86,DEMO_MOSFET_01,MOSFET,15.719000,0.252861,3.974722,10.000000,6.025278,60.252779,29.760000,40.000000,188.748882,150.000000,-38.748882,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.258326,Correct thermal operating condition,3.006000,3.006000,TEMPERATURE,1,0.191234,24.372070,1,11.887954,24.372070
87,DEMO_MOSFET_02,MOSFET,24.350000,0.260640,6.346584,20.000000,13.653416,68.267080,54.870000,25.000000,213.534600,175.000000,-38.534600,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.220198,Correct thermal operating condition,4.805200,4.805200,TEMPERATURE,1,0.197339,24.286829,1,18.436157,24.286829
88,DEMO_BJT_01,BJT,8.455000,0.104436,0.883006,10.000000,9.116994,91.169936,33.150000,50.000000,77.300319,150.000000,72.699681,SAFE,NONE,4,0.515335,No immediate action,2.337000,2.337000,TEMPERATURE,1,0.276404,0.000000,1,22.377341,0.000000
89,DEMO_MOSFET_01,MOSFET,30.487000,0.104535,3.186959,10.000000,6.813041,68.130415,43.850000,40.000000,171.328342,150.000000,-21.328342,NOT_SAFE_TEMPERATURE,TEMPERATURE,2,1.142189,Correct thermal operating condition,2.653750,2.653750,TEMPERATURE,1,0.087045,16.730953,1,25.386234,16.730953
90,DEMO_MOSFET_02,MOSFET,15.535000,0.188519,2.928643,20.000000,17.071357,85.356787,53.040000,25.000000,126.256067,175.000000,48.743933,SAFE,NONE,4,0.721463,No immediate action,4.878400,4.878400,TEMPERATURE,1,0.314026,0.000000,1,25.877498,0.000000
91,DEMO_BJT_01,BJT,18.508000,0.041066,0.760050,10.000000,9.239950,92.399505,44.540000,50.000000,82.542476,150.000000,67.457524,SAFE,NONE,4,0.550283,No immediate action,2.109200,2.109200,TEMPERATURE,1,0.113962,0.000000,1,51.361223,0.000000
