transistor_id;curve_type;parameter;x;y
# CSD19536KTT ZTH_JC: figure 4-1 normalized values multiplied by 0.4 K/W
CSD19536KTT;ZTH_JC;0;0.00001;0.0048
CSD19536KTT;ZTH_JC;0;0.0001;0.018
CSD19536KTT;ZTH_JC;0;0.001;0.056
CSD19536KTT;ZTH_JC;0;0.01;0.128
CSD19536KTT;ZTH_JC;0;0.1;0.32
CSD19536KTT;ZTH_JC;0;1;0.4
CSD19536KTT;ZTH_JC;0.1;0.00001;0.044
CSD19536KTT;ZTH_JC;0.1;0.0001;0.064
CSD19536KTT;ZTH_JC;0.1;0.001;0.096
CSD19536KTT;ZTH_JC;0.1;0.01;0.16
CSD19536KTT;ZTH_JC;0.1;0.1;0.34
CSD19536KTT;ZTH_JC;0.1;1;0.4
CSD19536KTT;ZTH_JC;0.5;0.00001;0.2
CSD19536KTT;ZTH_JC;0.5;0.0001;0.205
CSD19536KTT;ZTH_JC;0.5;0.001;0.22
CSD19536KTT;ZTH_JC;0.5;0.01;0.26
CSD19536KTT;ZTH_JC;0.5;0.1;0.35
CSD19536KTT;ZTH_JC;0.5;1;0.4
